statefips,year,month,number_schools,share_all_closed_50,share_all_closed_25,share_all_closed_75,share_elem_closed_50,share_elem_closed_25,share_elem_closed_75,share_middlehigh_closed_50,share_middlehigh_closed_25,share_middlehigh_closed_75,mean_all_change,mean_elem_change,mean_middlehigh_change,total_students,state_abbrev,state_name
23,2020,2,561,.016157988,.075403951,.0035906644,.02253521,.09295775,.0056338026,.017301038,.076124564,.0034602077,.35139364,.31264961,.38470423,175862,ME,MAINE
24,2020,2,1362,.013254787,.050810013,.0058910162,.015555556,.056666669,.0066666668,.013559322,.052542374,.010169491,.25722343,.23605534,.26733109,877321,MD,MARYLAND
25,2020,2,1740,.0092378752,.046766743,.002886836,.010045663,.055707764,.0027397261,.010309278,.039948452,.0038659794,.28234023,.24262151,.32330045,928272,MA,MASSACHUSETTS
26,2020,2,3253,.013576057,.050910212,.0033940142,.014629049,.051201671,.0031347962,.015461071,.056874655,.0038652678,.29715073,.28324914,.30108401,1489765,MI,MICHIGAN
27,2020,2,1978,.013824885,.04966718,.0030721966,.010628019,.046376813,.0019323671,.01782364,.059099436,.0037523452,.34299043,.31518126,.36166278,864725,MN,MINNESOTA
28,2020,2,961,.0052465899,.035676811,.0020986358,.0075046904,.033771105,.0037523452,.0037523452,.039399624,0,.39517558,.36618951,.41805276,502072,MS,MISSISSIPPI
29,2020,2,2213,.009986382,.037221972,.0031774852,.0092307692,.036153845,.0038461538,.010685664,.040961709,.0017809439,.38431188,.36050743,.410748,897849,MO,MISSOURI
30,2020,2,690,.030257186,.11043873,.006051437,.033536587,.11280487,.0091463411,.03183024,.11671088,.0026525198,.2945101,.23758011,.32591143,140311,MT,MONTANA
31,2020,2,587,.0068846815,.025817556,.0017211704,.0053475937,.02406417,0,.0081967209,.036885247,.0040983604,.39837807,.36110917,.44869485,243180,NE,NEBRASKA
32,2020,2,611,.0098846788,.075782537,.0016474464,.0078740157,.081364833,.0026246719,.015564202,.08560311,0,.18983521,.16938397,.21146238,449514,NV,NEVADA
33,2020,2,483,.0062500001,.041666668,0,.0065359478,.05882353,0,.0041493778,.012448133,0,.34849349,.3432205,.36368915,187588,NH,NEW HAMPSHIRE
34,2020,2,2309,.0056448113,.044290055,.0017368649,.0032404407,.044069994,.00064808811,.0088573955,.044286981,.0026572188,.26686242,.24221374,.28575984,1278532,NJ,NEW JERSEY
35,2020,2,724,.032033425,.11699165,.0069637885,.024038462,.098557696,.0048076925,.044776119,.13731343,.0089552235,.19515371,.20934756,.18289101,305459,NM,NEW MEXICO
