statefips,countyfips,countyfips2,year,month,number_schools,share_all_closed_50,share_all_closed_25,share_all_closed_75,share_elem_closed_50,share_elem_closed_25,share_elem_closed_75,share_middlehigh_closed_50,share_middlehigh_closed_25,share_middlehigh_closed_75,mean_all_change,mean_elem_change,mean_middlehigh_change,total_students,fips,county_name,state_abb,month_names,capita_covid,all_cases,per_pop,share_pop
41,7,7,2020,1,14,0,7.14,0,0,0,0,0,10,0,44.67,50.66,34.38,5143,41007,Clatsop,OR,January,,,,
41,9,9,2020,1,19,0,0,0,0,0,0,0,0,0,43.44,61.89,30.64,7163,41009,Columbia,OR,January,,,,
41,11,11,2020,1,24,0,0,0,0,0,0,0,0,0,34.19,23.47,42.26,9653,41011,Coos,OR,January,,,,
41,13,13,2020,1,8,0,14.29,0,0,0,0,0,16.67,0,37.47,67.65,37.83,3413,41013,Crook,OR,January,,,,
41,15,15,2020,1,7,0,0,0,0,0,0,0,0,0,39.5,44.05,29.42,2220,41015,Curry,OR,January,,,,
41,17,17,2020,1,43,0,0,0,0,0,0,0,0,0,37.06,39.88,34.82,24215,41017,Deschutes,OR,January,,,,
41,19,19,2020,1,48,0,0,0,0,0,0,0,0,0,54.7,52.55,53.94,14397,41019,Douglas,OR,January,,,,
41,21,21,2020,1,3,0,0,0,0,0,0,0,0,0,27.76,-8.35,27.76,293,41021,Gilliam,OR,January,,,,
41,23,23,2020,1,7,0,0,0,0,0,0,0,0,0,63.98,69.21,57.91,933,41023,Grant,OR,January,,,,
41,25,25,2020,1,12,0,0,0,0,0,0,0,0,0,57.44,67.27,52.72,1057,41025,Harney,OR,January,,,,
41,27,27,2020,1,8,0,0,0,0,0,0,0,0,0,35.9,40.22,28.7,4140,41027,Hood River,OR,January,,,,
41,29,29,2020,1,60,1.69,6.78,1.69,2.56,10.26,2.56,3.23,12.9,3.23,31.08,24.36,28.51,29518,41029,Jackson,OR,January,,,,
41,31,31,2020,1,10,0,0,0,0,0,0,0,0,0,45.71,51.54,43.55,3595,41031,Jefferson,OR,January,,,,
41,33,33,2020,1,24,4.17,8.33,0,7.14,7.14,0,0,8.33,0,36.5,43.22,29.57,10732,41033,Josephine,OR,January,,,,
41,35,35,2020,1,27,0,3.7,0,0,5.56,0,0,0,0,27.93,20.85,31.62,9297,41035,Klamath,OR,January,,,,
41,37,37,2020,1,6,0,0,0,0,0,0,0,0,0,18.73,21.04,22.54,1188,41037,Lake,OR,January,,,,
41,39,39,2020,1,106,0.94,1.89,0,1.67,1.67,0,0,1.72,0,43.96,47.56,45.73,43900,41039,Lane,OR,January,,,,
41,41,41,2020,1,19,0,0,0,0,0,0,0,0,0,51.69,57.59,49.43,7340,41041,Lincoln,OR,January,,,,
41,43,43,2020,1,46,2.17,6.52,2.17,3.33,10,3.33,4.35,8.7,4.35,39.47,41.31,30.47,18147,41043,Linn,OR,January,,,,
41,45,45,2020,1,21,0,0,0,0,0,0,0,0,0,46.91,50.31,48.44,5074,41045,Malheur,OR,January,,,,
41,47,47,2020,1,109,0.92,1.83,0,1.47,1.47,0,0,1.82,0,34.06,37.58,33.78,54657,41047,Marion,OR,January,,,,
41,49,49,2020,1,8,0,0,0,0,0,0,0,0,0,17.73,16.22,11.97,2030,41049,Morrow,OR,January,,,,
41,51,51,2020,1,156,2.56,4.49,1.28,2.65,4.42,0.88,4.17,6.94,2.78,28.02,28.41,20.8,89295,41051,Multnomah,OR,January,,,,
41,53,53,2020,1,25,0,0,0,0,0,0,0,0,0,35.65,35.1,47.39,13667,41053,Polk,OR,January,,,,
41,55,55,2020,1,2,0,0,0,0,0,0,0,0,0,64.75,64.75,51.72,239,41055,Sherman,OR,January,,,,
41,57,57,2020,1,12,0,0,0,0,0,0,0,0,0,38.5,42.42,35.7,3220,41057,Tillamook,OR,January,,,,
41,59,59,2020,1,34,2.94,8.82,0,5,10,0,0,4.76,0,18.27,29.89,11.47,13311,41059,Umatilla,OR,January,,,,
41,61,61,2020,1,14,0,0,0,0,0,0,0,0,0,26.27,10.04,37.05,4038,41061,Union,OR,January,,,,
41,63,63,2020,1,7,16.67,16.67,0,25,25,0,25,25,0,27.9,7.11,23.2,904,41063,Wallowa,OR,January,,,,
41,65,65,2020,1,11,0,0,0,0,0,0,0,0,0,23.02,31.5,21.31,3532,41065,Wasco,OR,January,,,,
41,67,67,2020,1,125,2.4,4.8,0.8,1.16,3.49,0,6,10,2,33.7,37.6,23.88,84553,41067,Washington,OR,January,,,,
41,69,69,2020,1,3,0,0,0,0,0,0,0,0,0,7.59,7.59,7.59,532,41069,Wheeler,OR,January,,,,
41,71,71,2020,1,35,2.86,5.71,0,0,0,0,5.56,5.56,0,32.13,34.35,33,16834,41071,Yamhill,OR,January,,,,
53,1,1,2020,1,14,0,0,0,0,0,0,0,0,0,44.83,64.44,23.15,5046,53001,Adams,WA,January,,,,
53,3,3,2020,1,11,0,9.09,0,0,0,0,0,14.29,0,25.78,47.99,10.2,3487,53003,Asotin,WA,January,,,,
53,5,5,2020,1,56,1.79,1.79,1.79,3.12,3.12,3.12,0,0,0,44.21,48.15,43.05,35642,53005,Benton,WA,January,,,,
53,7,7,2020,1,33,0,0,0,0,0,0,0,0,0,33.84,30.73,38.13,13895,53007,Chelan,WA,January,,,,
53,9,9,2020,1,25,0,0,0,0,0,0,0,0,0,55.98,60.1,61.33,10279,53009,Clallam,WA,January,,,,
53,11,11,2020,1,116,0,0.86,0,0,1.49,0,0,0,0,36.85,39,33.62,76903,53011,Clark,WA,January,,,,
53,13,13,2020,1,4,0,25,0,0,0,0,0,33.33,0,10.3,45.02,7.53,447,53013,Columbia,WA,January,,,,
53,15,15,2020,1,40,0,0,0,0,0,0,0,0,0,49.71,46.58,56.33,16832,53015,Cowlitz,WA,January,,,,
53,17,17,2020,1,19,5.26,15.79,0,0,8.33,0,9.09,18.18,0,21.48,34.26,21.93,7849,53017,Douglas,WA,January,,,,
53,19,19,2020,1,4,0,0,0,0,0,0,0,0,0,49.65,49.65,24.47,291,53019,Ferry,WA,January,,,,
53,21,21,2020,1,28,0,7.14,0,0,9.52,0,0,0,0,30.31,28.73,34.83,17455,53021,Franklin,WA,January,,,,
53,23,23,2020,1,2,0,0,0,0,0,0,0,0,0,30.8,28.26,33.33,331,53023,Garfield,WA,January,,,,
53,25,25,2020,1,49,4.08,6.12,0,3.7,7.41,0,4.76,4.76,0,32.93,35.53,26.4,19856,53025,Grant,WA,January,,,,
53,27,27,2020,1,39,0,7.69,0,0,4.55,0,0,13.64,0,30.09,40.35,12.92,10657,53027,Grays Harbor,WA,January,,,,
53,29,29,2020,1,24,0,4.17,0,0,7.14,0,0,0,0,39.37,41.05,35.79,10727,53029,Island,WA,January,,,,
53,31,31,2020,1,12,0,0,0,0,0,0,0,0,0,51.45,55.42,65.88,2315,53031,Jefferson,WA,January,,,,
53,33,33,2020,1,439,1.37,5.92,0.46,0.71,6.74,0.35,2.76,4.97,0.55,21.59,22.79,21.62,272406,53033,King,WA,January,,,,
53,35,35,2020,1,69,2.94,4.41,1.47,0,0,0,7.14,10.71,3.57,35.27,46.84,17.09,36065,53035,Kitsap,WA,January,,,,
53,37,37,2020,1,16,0,0,0,0,0,0,0,0,0,46.28,52.42,43.97,5166,53037,Kittitas,WA,January,,,,
53,39,39,2020,1,20,15,15,0,18.18,18.18,0,15.38,15.38,0,17.9,21.72,16.18,3155,53039,Klickitat,WA,January,,,,
53,41,41,2020,1,40,0,2.5,0,0,4.55,0,0,0,0,38.01,34.85,44.03,12011,53041,Lewis,WA,January,,,,
53,43,43,2020,1,16,0,0,0,0,0,0,0,0,0,47.65,44.03,49.28,2310,53043,Lincoln,WA,January,,,,
53,45,45,2020,1,19,0,5.26,0,0,8.33,0,0,7.14,0,30.18,33.33,26.27,7421,53045,Mason,WA,January,,,,
53,47,47,2020,1,30,0,6.67,0,0,0,0,0,10,0,45.25,50.58,51.15,8441,53047,Okanogan,WA,January,,,,
53,49,49,2020,1,18,11.11,11.11,11.11,20,20,20,0,0,0,30.2,31.28,35.63,2922,53049,Pacific,WA,January,,,,
53,51,51,2020,1,9,0,0,0,0,0,0,0,0,0,50.74,66.11,43.05,1947,53051,Pend Oreille,WA,January,,,,
53,53,53,2020,1,229,0.88,3.51,0.44,0.69,2.76,0,1.1,4.4,1.1,28.33,31.48,24.5,131434,53053,Pierce,WA,January,,,,
53,55,55,2020,1,15,0,0,0,0,0,0,0,0,0,25.66,32.19,17.63,1979,53055,San Juan,WA,January,,,,
53,57,57,2020,1,42,0,0,0,0,0,0,0,0,0,37.73,37.01,38.7,18528,53057,Skagit,WA,January,,,,
53,59,59,2020,1,9,0,11.11,0,0,14.29,0,0,20,0,49.66,41.64,22.62,1513,53059,Skamania,WA,January,,,,
53,61,61,2020,1,193,0,3.12,0,0,3.36,0,0,3.49,0,28.01,25.81,29.8,113596,53061,Snohomish,WA,January,,,,
53,63,63,2020,1,155,1.31,1.31,1.31,0,0,0,2.9,2.9,2.9,43.71,47.97,41.9,75186,53063,Spokane,WA,January,,,,
53,65,65,2020,1,41,0,7.69,0,0,0,0,0,6.67,0,36.01,41.71,39.17,7827,53065,Stevens,WA,January,,,,
53,67,67,2020,1,75,0,2.67,0,0,0,0,0,5.71,0,28.64,27.35,30.13,40689,53067,Thurston,WA,January,,,,
53,69,69,2020,1,2,0,0,0,0,0,0,0,0,0,94.44,100,94.44,464,53069,Wahkiakum,WA,January,,,,
53,71,71,2020,1,29,0,3.45,0,0,6.67,0,0,0,0,24.38,18.39,33.02,9165,53071,Walla Walla,WA,January,,,,
53,73,73,2020,1,61,0,3.28,0,0,5.56,0,0,3.57,0,23.48,23.23,21.36,25853,53073,Whatcom,WA,January,,,,
53,75,75,2020,1,25,0,0,0,0,0,0,0,0,0,53.42,50.97,57.46,4960,53075,Whitman,WA,January,,,,
53,77,77,2020,1,101,0.99,5.94,0,1.75,7.02,0,0,3.85,0,34.27,32.46,37.89,54640,53077,Yakima,WA,January,,,,
6,1,1,2020,2,305,1.97,11.18,0,1.53,9.69,0,3.2,13.6,0,8.44,8.62,7.3,198083,06001,Alameda,CA,February,0.66,11,151939,1 in 151939
6,3,3,2020,2,3,0,33.33,0,0,33.33,0,0,33.33,0,-17.78,-17.78,-17.78,100,06003,Alpine,CA,February,,,,
6,5,5,2020,2,13,0,0,0,0,0,0,0,0,0,40.45,37.72,52.23,3675,06005,Amador,CA,February,,,,
6,7,7,2020,2,76,4.05,6.76,0,5,7.5,0,5.26,7.89,0,26.32,23,33.55,29218,06007,Butte,CA,February,,,,
6,9,9,2020,2,22,0,5,0,0,7.69,0,0,0,0,25.73,22.93,42.51,5254,06009,Calaveras,CA,February,,,,
6,11,11,2020,2,20,10,15,0,8.33,16.67,0,8.33,16.67,0,10.07,1.68,13.26,5025,06011,Colusa,CA,February,,,,
6,13,13,2020,2,240,0.42,6.3,0,0.65,7.14,0,0.95,6.67,0,13.64,12.5,15.28,167529,06013,Contra Costa,CA,February,1.65,19,60712,1 in 60712
6,15,15,2020,2,13,7.69,7.69,0,10,10,0,11.11,11.11,0,14.55,10.7,15.41,4589,06015,Del Norte,CA,February,,,,
6,17,17,2020,2,57,1.79,3.57,0,2.78,5.56,0,3.33,3.33,0,28.88,27.71,25.64,26056,06017,El Dorado,CA,February,,,,
6,19,19,2020,2,313,1.93,13.18,0.32,2.91,13.11,0.49,1.36,16.33,0,11.48,9.33,10.83,198815,06019,Fresno,CA,February,,,,
6,21,21,2020,2,21,0,0,0,0,0,0,0,0,0,41.78,24.57,39.24,5675,06021,Glenn,CA,February,,,,
6,23,23,2020,2,77,2.63,11.84,0,2.33,13.95,0,1.92,11.54,0,18.08,17.73,20.97,14613,06023,Humboldt,CA,February,,,,
6,25,25,2020,2,61,0,8.2,0,0,7.89,0,0,8.33,0,21.18,18.88,23.81,37216,06025,Imperial,CA,February,,,,
6,27,27,2020,2,21,0,23.81,0,0,20,0,0,26.32,0,21.26,27.23,19.06,2895,06027,Inyo,CA,February,,,,
6,29,29,2020,2,248,2.04,9.39,0.41,1.96,9.15,0.65,3.57,12.5,0.89,11.81,12.89,9.52,175884,06029,Kern,CA,February,,,,
6,31,31,2020,2,62,0,9.84,0,0,8.33,0,0,10.53,0,22.47,23.31,20.01,29425,06031,Kings,CA,February,,,,
6,33,33,2020,2,31,0,6.9,0,0,5.88,0,0,8.7,0,26.82,23.77,27.51,8060,06033,Lake,CA,February,,,,
6,35,35,2020,2,20,0,0,0,0,0,0,0,0,0,22.02,24.79,24.08,3955,06035,Lassen,CA,February,,,,
6,37,37,2020,2,1860,1.78,15.74,0.16,1.15,15.59,0.16,2.61,15.12,0.26,3.81,2.47,6.61,1345583,06037,Los Angeles,CA,February,1.19,119,84362,1 in 84362
6,39,39,2020,2,73,1.37,6.85,0,0,0,0,2.08,8.33,0,18.25,22.27,17.37,32847,06039,Madera,CA,February,,,,
6,41,41,2020,2,74,1.43,7.14,0,0,7.14,0,3.03,6.06,0,19.86,18.33,19.84,34545,06041,Marin,CA,February,,,,
6,43,43,2020,2,14,0,7.69,0,0,0,0,0,8.33,0,18.36,21.35,21.28,2325,06043,Mariposa,CA,February,,,,
6,45,45,2020,2,54,5.77,19.23,1.92,9.09,18.18,4.55,5.56,22.22,2.78,11.34,3.66,13.11,14613,06045,Mendocino,CA,February,,,,
6,47,47,2020,2,102,2.94,6.86,0,5.36,8.93,0,3.45,6.9,0,14.94,12.66,16.44,59864,06047,Merced,CA,February,,,,
6,49,49,2020,2,11,9.09,27.27,0,20,20,0,11.11,33.33,0,8.24,2.84,10.9,1394,06049,Modoc,CA,February,,,,
6,51,51,2020,2,13,0,9.09,0,0,0,0,0,11.11,0,29.48,28.66,24.66,1604,06051,Mono,CA,February,,,,
6,53,53,2020,2,139,2.9,23.91,0.72,1.2,22.89,0,4.62,24.62,1.54,1.71,1.37,3.68,80002,06053,Monterey,CA,February,,,,
6,55,55,2020,2,43,2.33,13.95,2.33,3.85,19.23,3.85,4.55,13.64,4.55,16.43,13.71,22.57,22722,06055,Napa,CA,February,,,,
6,57,57,2020,2,41,7.5,12.5,5,4.76,9.52,4.76,7.14,10.71,3.57,23.13,26.57,28.37,11438,06057,Nevada,CA,February,,,,
6,59,59,2020,2,580,0.35,3.97,0.17,0.5,3.78,0.25,0,5.1,0,16.57,16.35,16.84,487769,06059,Orange,CA,February,1.51,48,66160,1 in 66160
6,61,61,2020,2,102,0,3.96,0,0,5.8,0,0,3.85,0,27.58,25.17,29.42,57513,06061,Placer,CA,February,,,,
6,63,63,2020,2,12,0,18.18,0,0,33.33,0,0,14.29,0,32.99,6.81,42.44,1979,06063,Plumas,CA,February,,,,
6,65,65,2020,2,459,1.31,6.54,0,1.41,5.65,0,1.46,8.29,0,12.66,12.04,12.77,415632,06065,Riverside,CA,February,0.61,15,164703,1 in 164703
6,67,67,2020,2,329,0,3.66,0,0,4.05,0,0,2.74,0,17.8,15.91,17.74,221380,06067,Sacramento,CA,February,1.03,16,97004,1 in 97004
6,69,69,2020,2,19,5.26,10.53,5.26,0,7.14,0,7.14,14.29,7.14,19.61,31.47,17.49,6854,06069,San Benito,CA,February,,,,
6,71,71,2020,2,500,0.4,6.43,0,0.32,5.68,0,0.5,6.47,0,13.5,12.46,16.64,390036,06071,San Bernardino,CA,February,0.92,20,109004,1 in 109004
6,73,73,2020,2,689,1.6,8.44,0.44,0.93,7.93,0.47,2.12,6.71,0.35,11.4,10.21,14.09,476417,06073,San Diego,CA,February,0.48,16,208646,1 in 208646
6,75,75,2020,2,106,1.89,20.75,0,1.37,21.92,0,2.63,18.42,0,-0.2,-1.63,0.84,47515,06075,San Francisco,CA,February,1.36,12,73462,1 in 73462
6,77,77,2020,2,204,1.48,5.91,0.49,1.38,4.83,0,1.94,7.1,0.65,14.09,14.04,13.79,138188,06077,San Joaquin,CA,February,,,,
6,79,79,2020,2,80,0,5,0,0,6.52,0,0,6.82,0,21.53,18.85,23.82,38636,06079,San Luis Obispo,CA,February,,,,
6,81,81,2020,2,163,1.84,10.43,1.23,2.83,13.21,1.89,0,8.75,0,11.54,6.25,14.83,88912,06081,San Mateo,CA,February,3.91,30,25552,1 in 25552
6,83,83,2020,2,116,1.72,13.79,0,1.43,17.14,0,1.89,9.43,0,14.19,9.61,21.08,74261,06083,Santa Barbara,CA,February,,,,
6,85,85,2020,2,377,1.86,10.08,0.27,0.86,10.73,0,2.6,9.74,0,10.8,10.17,10.53,260315,06085,Santa Clara,CA,February,3.94,76,25366,1 in 25366
6,87,87,2020,2,72,4.17,16.67,1.39,4.76,19.05,0,5.41,13.51,2.7,7.34,6.43,12.29,35808,06087,Santa Cruz,CA,February,,,,
6,89,89,2020,2,88,2.33,9.3,0,2.17,6.52,0,1.79,12.5,0,38.06,39.41,33.58,27152,06089,Shasta,CA,February,,,,
6,91,91,2020,2,7,0,0,0,0,0,0,0,0,0,77.8,58.4,87.5,397,06091,Sierra,CA,February,,,,
6,93,93,2020,2,48,6.67,15.56,2.22,3.85,11.54,0,7.69,15.38,2.56,37.14,45.91,33.55,6048,06093,Siskiyou,CA,February,,,,
6,95,95,2020,2,98,3.06,13.27,0,0,8.47,0,5.77,17.31,0,10.62,9.73,11.74,57472,06095,Solano,CA,February,4.02,18,24869,1 in 24869
6,97,97,2020,2,154,1.97,7.24,1.32,2.97,9.9,1.98,1.43,10,0,23.57,19.91,23.57,68680,06097,Sonoma,CA,February,,,,
6,99,99,2020,2,181,0.55,3.87,0,0,3.42,0,1.12,6.74,0,20.3,18,22.99,110538,06099,Stanislaus,CA,February,,,,
6,101,101,2020,2,34,2.94,5.88,0,4,8,0,0,3.7,0,37.71,30.05,42.69,17629,06101,Sutter,CA,February,,,,
6,103,103,2020,2,42,0,2.38,0,0,3.57,0,0,3.45,0,40.81,43.07,35.94,11490,06103,Tehama,CA,February,,,,
6,105,105,2020,2,13,0,0,0,0,0,0,0,0,0,26.82,27.78,29.8,983,06105,Trinity,CA,February,,,,
6,107,107,2020,2,173,2.94,13.53,0.59,4.5,11.71,0.9,4.67,16.82,0.93,13.14,10.47,14.48,100894,06107,Tulare,CA,February,,,,
